wavelength_nm,glass_diffuse_reflectance,glass_diffuse_transmittance,glass_reflectance_percent,glass_transmittance_percent,source_R_file,source_T_file
391.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
392.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
392.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
393.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
393.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
394.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
394.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
395.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
395.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
396.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
396.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
397.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
397.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
398.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
398.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
399.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
399.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
400.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
400.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
401.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
401.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
402.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
402.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
403.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
403.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
404.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
404.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
405.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
405.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
406.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
406.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
407.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
407.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
408.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
408.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
409.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
409.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
410.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
410.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
411.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
411.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
412.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
412.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
413.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
413.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
414.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
414.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
415.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
415.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
416.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
416.5,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
417.0,0.005,0.006,0.5,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
417.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
418.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
418.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
419.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
419.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
420.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
420.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
421.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
421.5,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
422.0,0.006,0.006,0.6,0.6,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
