sample_id,ratio_tag,thickness_um,wavelength_nm,MR,MT,MR_corrected_percent,MT_corrected_percent,MR_raw_percent,MT_raw_percent,glass_R_percent,glass_T_percent,valid_iad_input,correction_method,source_R_file,source_T_file,glass_R_file,glass_T_file
X-X-30,X-X,30,377.5,0.546,-0.001,54.6,-0.1,55.2,0.5,0.6,0.6,0,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,378.0,0.55,-0.001,55,-0.1,55.6,0.5,0.6,0.6,0,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,378.5,0.555,-0.001,55.5,-0.1,56.1,0.5,0.6,0.6,0,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,379.0,0.559,-0.001,55.9,-0.1,56.5,0.5,0.6,0.6,0,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,379.5,0.564,0,56.4,0,57,0.6,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,380.0,0.568,0,56.8,0,57.4,0.6,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,380.5,0.572,0,57.2,0,57.8,0.6,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,381.0,0.577,0.001,57.7,0.1,58.3,0.7,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,381.5,0.581,0.001,58.1,0.1,58.7,0.7,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,382.0,0.586,0.001,58.6,0.1,59.2,0.7,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,382.5,0.59,0.002,59,0.2,59.6,0.8,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,383.0,0.594,0.002,59.4,0.2,60,0.8,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,383.5,0.599,0.003,59.9,0.3,60.5,0.9,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,384.0,0.603,0.003,60.3,0.3,60.9,0.9,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,384.5,0.608,0.004,60.8,0.4,61.4,1,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,385.0,0.612,0.005,61.2,0.5,61.8,1.1,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,385.5,0.617,0.005,61.7,0.5,62.3,1.1,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,386.0,0.622,0.006,62.2,0.6,62.8,1.2,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,386.5,0.626,0.007,62.6,0.7,63.2,1.3,0.6,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,387.0,0.632,0.007,63.2,0.7,63.7,1.3,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,387.5,0.637,0.008,63.7,0.8,64.2,1.4,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,388.0,0.642,0.009,64.2,0.9,64.7,1.5,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,388.5,0.646,0.01,64.6,1,65.1,1.6,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,389.0,0.65,0.011,65,1.1,65.5,1.7,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,389.5,0.654,0.012,65.4,1.2,65.9,1.8,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,390.0,0.659,0.013,65.9,1.3,66.4,1.9,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,390.5,0.663,0.014,66.3,1.4,66.8,2,0.5,0.6,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,391.0,0.667,0.016,66.7,1.6,67.2,2.1,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,391.5,0.672,0.017,67.2,1.7,67.7,2.2,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,392.0,0.676,0.018,67.6,1.8,68.1,2.3,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,392.5,0.68,0.019,68,1.9,68.5,2.4,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,393.0,0.684,0.021,68.4,2.1,68.9,2.6,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,393.5,0.689,0.022,68.9,2.2,69.4,2.7,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,394.0,0.693,0.023,69.3,2.3,69.8,2.8,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,394.5,0.698,0.025,69.8,2.5,70.3,3,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,395.0,0.702,0.026,70.2,2.6,70.7,3.1,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
X-X-30,X-X,30,395.5,0.706,0.027,70.6,2.7,71.1,3.2,0.5,0.5,1,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
