lambda_nm,bin_id,cos_theta_min,cos_theta_max,count_mean,count_std,probability_mean,probability_std,probability_density_mean,probability_density_std
450.0,40,0.25,0.28125,1872.2,532.5384493161034,0.01229365,0.0034949582923119414,0.3933968,0.11183928011749716
450.0,41,0.28125,0.3125,1972.8,443.7135337129126,0.012950371999999998,0.0028813014613052893,0.41441160000000005,0.09220137348651589
450.0,42,0.3125,0.34375,1986.2,757.1470795030514,0.013023157999999998,0.004910771572148312,0.4167412,0.15714417499767527
450.0,43,0.34375,0.375,2532.2,600.5203576898955,0.01663402,0.003985046345652708,0.5322884,0.12752155156600004
450.0,44,0.375,0.40625,2269.8,555.5062555903398,0.014912020000000002,0.003689079743242209,0.47718439999999995,0.11805051623478824
450.0,45,0.40625,0.4375,1724.0,449.493603958944,0.011328474,0.0029851787560178037,0.3625106,0.09552537475090062
450.0,46,0.4375,0.46875,2046.8,446.07364862766775,0.013442492,0.0029407013330700555,0.43015980000000004,0.09410209298256866
450.0,47,0.46875,0.5,1595.0,298.4593774703687,0.010473102000000001,0.00195238505938762,0.3351394,0.0624764225992494
450.0,48,0.5,0.53125,1725.0,589.0946443484272,0.011327334,0.003863891126155084,0.3624748,0.12364459438123446
450.0,49,0.53125,0.5625,1849.6,503.14640016599543,0.01215687,0.003346788186381086,0.3890204,0.10709791184145469
450.0,50,0.5625,0.59375,2060.2,231.61325523380563,0.01353038,0.0015354354747106763,0.4329726,0.04913334441395171
450.0,51,0.59375,0.625,1732.6,611.6995177372629,0.011393214,0.0040778211826513425,0.3645826,0.13048986559997677
450.0,52,0.625,0.65625,1679.6,319.0286820961401,0.011027486,0.002084823600135033,0.35287959999999996,0.06671407433068378
450.0,53,0.65625,0.6875,1975.4,939.6365254714186,0.012975096,0.006183686745177185,0.415203,0.19787819465898712
450.0,54,0.6875,0.71875,2227.8,652.2317072942714,0.01461604,0.0042263579590470085,0.467713,0.13524300156754876
450.0,55,0.71875,0.75,2144.2,452.4949723477599,0.014082039999999999,0.0029746390601214125,0.45062480000000005,0.09518856429057014
450.0,56,0.75,0.78125,2717.2,479.0075155986595,0.0178332,0.003089904212107553,0.5706626,0.09887632644521134
450.0,57,0.78125,0.8125,3329.0,165.41614189673268,0.0218566,0.0009908159314423646,0.6994106,0.031706087574786025
450.0,58,0.8125,0.84375,3451.8,231.64239681025578,0.02266454,0.001481949009919033,0.7252651999999999,0.047421620361392136
450.0,59,0.84375,0.875,4607.0,399.6873778342268,0.03025668,0.002672386176621935,0.9682143999999999,0.0855165255158323
450.0,60,0.875,0.90625,5556.0,376.0139625067133,0.03648246,0.002435751727496052,1.167438,0.07794329458009841
450.0,61,0.90625,0.9375,7568.6,394.4924587365391,0.049695880000000005,0.002474043621684953,1.5902699999999999,0.07916863899297501
450.0,62,0.9375,0.96875,9974.2,486.68593569159157,0.06549794,0.0032163187533265406,2.095934,0.10292088650997923
450.0,63,0.96875,1.0,20671.4,930.5234011028417,0.13573200000000002,0.005834597329722079,4.343428,0.18670916935169532
